temperature,humidite_air,humidite_sol,type_sol,culture,N,K,P,engrais,zone,ph_sol,pluie,source,culture_enc,engrais_enc,type_sol_enc,zone_enc
30.0,60.0,58.0,Limoneux,Sorgho,10.0,7.0,32.0,DAP,soudanienne,7.925587656070052,143.11392709461444,reel,4,0,1,1
32.0,62.0,34.0,Argileux,Mil,22.0,0.0,24.0,NPK_15_15_15,sahelienne,7.858748074259817,22.048897336113306,reel,3,1,0,0
34.0,65.0,60.0,Argileux,Sorgho,35.0,0.0,0.0,Uree,soudanienne,6.709125947940338,53.80670975518218,reel,4,2,0,1
35.0,67.0,42.0,Sableux,Mil,10.0,0.0,35.0,DAP,sahelienne,7.987629383187514,191.70372163628525,reel,3,0,2,0
38.0,70.0,48.0,Limoneux,Sorgho,8.0,8.0,28.0,DAP,soudanienne,7.184135826955608,53.229989385946276,reel,4,0,1,1
26.0,52.0,32.0,Argileux,Arachide,12.0,0.0,8.0,NPK_15_15_15,sahelienne,5.672143844018854,59.30434407822922,reel,0,1,0,0
29.0,58.0,43.0,Argileux,Sorgho,24.0,0.0,18.0,NPK_15_15_15,soudanienne,5.794295497706568,39.5194769682159,reel,4,1,0,1
30.0,60.0,29.0,Argileux,Arachide,41.0,0.0,0.0,Uree,soudanienne,7.790277109674094,25.814733061365903,reel,0,2,0,1
33.0,64.0,51.0,Sableux,Mais,5.0,9.0,29.0,DAP,sahelienne,7.075130505374071,46.65152829079959,reel,2,0,2,0
34.0,65.0,31.0,Argileux,Mil,23.0,0.0,21.0,NPK_15_15_15,soudanienne,7.607959066643378,128.46537839015969,reel,3,1,0,1
36.0,68.0,33.0,Argileux,Arachide,13.0,0.0,14.0,NPK_15_15_15,sahelienne,7.74567412408461,91.07354670071271,reel,0,1,0,0
28.0,54.0,38.0,Argileux,Arachide,40.0,0.0,0.0,Uree,sahelienne,6.619855028205965,110.75116726757972,reel,0,2,0,0
30.0,60.0,47.0,Sableux,Mil,12.0,0.0,42.0,DAP,sahelienne,5.621314878941733,24.472965753204857,reel,3,0,2,0
31.0,62.0,63.0,Argileux,Coton,11.0,12.0,15.0,NPK_15_15_15,sahelienne,5.970700872243305,160.42328943258002,reel,1,1,0,0
27.0,53.0,43.0,Argileux,Mil,23.0,0.0,24.0,NPK_15_15_15,sahelienne,5.666429868256087,156.8189401159696,reel,3,1,0,0
34.0,65.0,54.0,Limoneux,Sorgho,38.0,0.0,0.0,Uree,soudanienne,5.971849614246269,4.317982228535078,reel,4,2,1,1
29.0,58.0,37.0,Sableux,Mil,8.0,0.0,15.0,NPK_15_15_15,soudanienne,6.526332316139692,76.70301890206099,reel,3,1,2,1
25.0,50.0,56.0,Limoneux,Sorgho,11.0,13.0,15.0,NPK_15_15_15,soudanienne,5.795492026287463,13.754120394229563,reel,4,1,1,1
32.0,62.0,34.0,Argileux,Arachide,15.0,0.0,37.0,DAP,sahelienne,5.916833119513358,158.42115588299163,reel,0,0,0,0
28.0,54.0,41.0,Argileux,Sorgho,36.0,0.0,0.0,Uree,soudanienne,6.6145544551791975,147.45393662514087,reel,4,2,0,1
30.0,60.0,49.0,Limoneux,Sorgho,13.0,0.0,9.0,NPK_15_15_15,soudanienne,6.350427375971224,180.3976188586312,reel,4,1,1,1
34.0,65.0,64.0,Argileux,Coton,24.0,0.0,20.0,NPK_15_15_15,sahelienne,6.669145310470102,47.28079179062292,reel,1,1,0,0
28.0,54.0,47.0,Sableux,Mil,5.0,18.0,15.0,DAP,soudanienne,6.572930069397655,91.25917662555977,reel,3,0,2,1
27.0,53.0,35.0,Argileux,Arachide,37.0,0.0,0.0,Uree,soudanienne,7.111195064949708,36.89757543287955,reel,0,2,0,1
36.0,68.0,62.0,Argileux,Coton,15.0,0.0,40.0,DAP,soudanienne,7.842973872189637,74.24698689482389,reel,1,0,0,1
34.0,65.0,57.0,Argileux,Sorgho,9.0,0.0,13.0,NPK_15_15_15,sahelienne,5.7696608461106065,104.4486503133768,reel,4,1,0,0
29.0,58.0,55.0,Limoneux,Sorgho,8.0,8.0,33.0,DAP,sahelienne,5.7481503732729875,10.666157967717794,reel,4,0,1,0
25.0,50.0,40.0,Argileux,Arachide,6.0,19.0,16.0,DAP,soudanienne,7.632015277727255,142.97408213547703,reel,0,0,0,1
30.0,60.0,38.0,Sableux,Mil,10.0,0.0,14.0,NPK_15_15_15,soudanienne,6.765991761631148,108.65867207421505,reel,3,1,2,1
26.0,52.0,39.0,Argileux,Arachide,21.0,0.0,23.0,NPK_15_15_15,sahelienne,7.416012558921105,165.79180344213466,reel,0,1,0,0
31.0,62.0,32.0,Argileux,Mil,39.0,0.0,0.0,Uree,sahelienne,6.038554759018203,54.35610023823945,reel,3,2,0,0
34.0,65.0,48.0,Limoneux,Sorgho,23.0,0.0,19.0,NPK_15_15_15,soudanienne,7.572156432918879,180.6642210538509,reel,4,1,1,1
27.0,53.0,34.0,Argileux,Arachide,42.0,0.0,0.0,Uree,soudanienne,7.809616560481739,199.73885060608868,reel,0,2,0,1
33.0,64.0,31.0,Argileux,Arachide,13.0,0.0,39.0,DAP,soudanienne,7.08870753886622,183.8596876755349,reel,0,0,0,1
29.0,58.0,42.0,Argileux,Sorgho,9.0,10.0,22.0,DAP,sahelienne,5.764697553684505,155.57849516663083,reel,4,0,0,0
30.0,60.0,47.0,Sableux,Mais,22.0,0.0,21.0,NPK_15_15_15,sahelienne,7.738237035390847,162.47376057475614,reel,2,1,2,0
27.0,53.0,59.0,Limoneux,Sorgho,10.0,0.0,15.0,NPK_15_15_15,sahelienne,7.481219318425178,114.74884850891729,reel,4,1,1,0
26.0,52.0,36.0,Argileux,Arachide,7.0,16.0,20.0,DAP,sahelienne,7.377194441286225,38.0307725825221,reel,0,0,0,0
34.0,65.0,63.0,Argileux,Coton,14.0,0.0,38.0,DAP,sahelienne,5.591820472264789,135.40813702954347,reel,1,0,0,0
28.0,54.0,43.0,Argileux,Sorgho,10.0,8.0,29.0,DAP,soudanienne,7.497406313142428,142.5506004119863,reel,4,0,0,1
30.0,60.0,40.0,Sableux,Mil,41.0,0.0,0.0,Uree,soudanienne,5.844877526170892,197.07702805358113,reel,3,2,2,1
29.0,58.0,65.0,Argileux,Coton,14.0,0.0,35.0,DAP,soudanienne,6.055965440492221,108.26026325126436,reel,1,0,0,1
26.0,52.0,59.0,Limoneux,Sorgho,11.0,0.0,9.0,NPK_15_15_15,sahelienne,6.942837087173144,54.27380300501128,reel,4,1,1,0
31.0,62.0,44.0,Sableux,Mil,21.0,0.0,28.0,NPK_15_15_15,sahelienne,6.162451932292208,136.73450434790135,reel,3,1,2,0
35.0,67.0,28.0,Argileux,Arachide,8.0,7.0,31.0,DAP,sahelienne,7.153370515779799,195.8751639332909,reel,0,0,0,0
29.0,58.0,30.0,Argileux,Mil,13.0,17.0,16.0,DAP,sahelienne,7.020176119247704,35.4427816538188,reel,3,0,0,0
27.0,53.0,30.0,Argileux,Mil,35.0,0.0,0.0,Uree,soudanienne,5.7703739950331565,65.19958370712054,reel,3,2,0,1
36.0,68.0,50.0,Limoneux,Sorgho,12.0,18.0,19.0,DAP,sahelienne,7.1400364489787655,108.37619075453621,reel,4,0,1,0
29.0,58.0,61.0,Limoneux,Coton,11.0,0.0,38.0,DAP,sahelienne,7.809887274562325,34.04292697640096,reel,1,0,1,0
30.0,60.0,26.0,Argileux,Arachide,8.0,9.0,30.0,DAP,sahelienne,5.902774762964583,4.444127903987671,reel,0,0,0,0
34.0,65.0,45.0,Argileux,Sorgho,6.0,19.0,21.0,DAP,sahelienne,6.992655052357218,67.39662448825013,reel,4,0,0,0
36.0,68.0,41.0,Argileux,Arachide,41.0,0.0,0.0,Uree,soudanienne,6.354663429841735,173.07416030021162,reel,0,2,0,1
28.0,54.0,25.0,Sableux,Mais,9.0,10.0,30.0,DAP,sahelienne,6.6490291794340095,8.693679864742965,reel,2,0,2,0
25.0,50.0,32.0,Argileux,Arachide,24.0,0.0,19.0,NPK_15_15_15,soudanienne,6.217500447697425,85.7858118033835,reel,0,1,0,1
30.0,60.0,27.0,Argileux,Mil,4.0,17.0,17.0,DAP,soudanienne,6.385326590869238,152.4401545852165,reel,3,0,0,1
38.0,72.0,51.0,Limoneux,Sorgho,39.0,0.0,0.0,Uree,sahelienne,5.572279558166393,190.63651938217706,reel,4,2,1,0
36.0,60.0,43.0,Sableux,Mil,15.0,0.0,41.0,DAP,sahelienne,7.953879344793052,197.09507980088645,reel,3,0,2,0
29.0,58.0,57.0,Argileux,Sorgho,12.0,0.0,10.0,NPK_15_15_15,soudanienne,7.061999805181871,84.39387612174833,reel,4,1,0,1
34.529826966266185,57.560758748403046,39.89091772646379,Argileux,Mais,39.26098906990999,0.0,1.036301660961108,Uree,soudanienne,5.6452090304204985,120.22300234864176,augmente,2,2,0,1
27.616741808261807,45.711979023348405,50.33087892226064,Argileux,Mil,37.31423488711072,0.0,0.0,Uree,soudanienne,6.228072850495105,27.898772130408368,augmente,3,2,0,1
26.202363877128235,56.01524665135515,42.93219090948996,Limoneux,Coton,41.01144472839744,0.0,0.10804512750067814,Uree,sahelienne,7.018862129753596,5.204127438822361,augmente,1,2,1,0
28.431818591461195,53.63806606244423,40.52887175960229,Sableux,Mil,37.279231150742184,1.5159037136746223,0.46565440201949154,Uree,sahelienne,6.737942275278176,72.74563216630257,augmente,3,2,2,0
30.783405058703053,62.406192962825834,43.464944929217346,Sableux,Mil,38.74096467426197,0.0,0.0,Uree,sahelienne,5.721231255129799,3.6181831128430453,augmente,3,2,2,0
27.739605352525896,53.09504526605157,43.13936981230984,Sableux,Mais,39.76138627408643,0.0,0.0,Uree,sahelienne,7.505492451885099,78.95095492804138,augmente,2,2,2,0
29.35374880200605,60.37757319326931,50.55276933409132,Limoneux,Mil,40.22621709758543,1.4900481905859178,0.0,Uree,sahelienne,6.327245062131623,24.878585737252976,augmente,3,2,1,0
30.013127401670374,63.574418596503094,48.96673558900599,Argileux,Sorgho,39.87175914228066,0.4744982149263532,0.0,Uree,soudanienne,6.90319299392374,98.75911927287815,augmente,4,2,0,1
24.612397206069097,57.632903157626664,45.10205114617422,Argileux,Mil,38.52089365494399,0.0,0.1468172424568037,Uree,soudanienne,6.525957307589074,45.75963309832449,augmente,3,2,0,1
31.115770603805274,65.56166645641983,43.50183064130858,Sableux,Mil,39.26954173118485,1.8530986446912445,0.41138699209004703,Uree,sahelienne,7.740228249808733,8.80415396221414,augmente,3,2,2,0
29.564564861849135,51.676126196347184,38.24707712892411,Sableux,Mil,38.898600649222935,0.417688435487823,0.008181530627937424,Uree,sahelienne,5.799663418334207,75.43277631300154,augmente,3,2,2,0
25.499627779917088,53.38409379965658,33.206125773103835,Argileux,Mil,36.65993097469666,2.2463339818548698,0.0,Uree,soudanienne,5.592217368386332,100.5358046457723,augmente,3,2,0,1
26.92576118853151,64.42062987012027,48.58190525340779,Limoneux,Mais,38.01612133657041,0.48247574773378,0.0,Uree,soudanienne,6.094093859980999,73.55662654385064,augmente,2,2,1,1
32.8352040012988,67.22930067039493,49.65415582171663,Argileux,Mais,36.77269030950846,0.12303191773531429,0.0,Uree,soudanienne,5.541469572319641,45.29915503958759,augmente,2,2,0,1
29.31745002357639,62.78008301554703,31.10599866382798,Argileux,Mil,36.702625056023,2.4798950480280633,0.0,Uree,soudanienne,7.54305550050304,105.93011567120129,augmente,3,2,0,1
27.777587743199533,61.80425883119256,52.68151942914844,Sableux,Mais,35.76208961407956,1.9051636097818243,2.07903490282318,Uree,sahelienne,5.710349912487622,71.88433508216634,augmente,2,2,2,0
31.565849140509822,52.792392718794545,47.74125358214328,Sableux,Mais,38.89309455494127,0.0,2.9852392178316105,Uree,sahelienne,7.28044805336884,26.031975852741418,augmente,2,2,2,0
30.63933197143815,51.902798218645096,35.15225257687889,Limoneux,Coton,39.130503741122524,1.5048569359392154,0.0,Uree,soudanienne,6.109974108447709,78.61954493335207,augmente,1,2,1,1
37.91174150459,61.844245558232565,34.399761605794524,Limoneux,Mil,38.387125291408175,2.325654523451707,0.0,Uree,sahelienne,6.20193090610214,51.63778367257343,augmente,3,2,1,0
32.422435793121274,63.93613800722091,38.93898937033846,Sableux,Coton,38.13938155949221,1.1845453087163818,0.0,Uree,sahelienne,6.292305012890694,44.544100996668014,augmente,1,2,2,0
26.99838546726008,60.509711087609375,46.89716755560834,Limoneux,Mil,36.76687923979171,0.24596016951284466,0.09313394951359984,Uree,soudanienne,7.24253935248817,71.89823024395103,augmente,3,2,1,1
32.69042682291865,65.8879478685085,42.01894209476719,Argileux,Coton,38.91364735080579,0.41153198556817094,0.038290903145339124,Uree,soudanienne,7.124909826944413,159.15853388722022,augmente,1,2,0,1
30.458566896588202,70.2585247432874,25.49691195096131,Limoneux,Mil,36.96746757412716,0.0,0.0,Uree,soudanienne,6.216353130320711,6.100049987809886,augmente,3,2,1,1
30.59042887155681,61.46517257487982,30.75338211117855,Sableux,Sorgho,36.75014520436413,0.0,2.4966082258126066,Uree,sahelienne,5.71336866248442,42.50837052545184,augmente,4,2,2,0
32.63539404062422,54.77906347759527,40.943285612794355,Argileux,Mais,34.705058951033294,0.2983269036310842,0.0,Uree,soudanienne,5.563376858538644,167.19602410244116,augmente,2,2,0,1
25.672735988863316,63.43701034330156,53.11635577203157,Limoneux,Sorgho,37.75979302639793,0.0,0.5084272518993898,Uree,soudanienne,6.199834742364857,147.5793833391537,augmente,4,2,1,1
28.22810885908352,60.938308838275766,48.781986677846376,Sableux,Sorgho,35.61877648292977,0.0,2.0270578386985965,Uree,sahelienne,6.685434572718313,39.32927000934659,augmente,4,2,2,0
33.96548854675295,58.08754432629529,37.85028636416929,Argileux,Mais,34.75958329952195,0.0,2.468908242974534,Uree,soudanienne,7.064649789285591,171.29796823766446,augmente,2,2,0,1
29.1387631077507,59.292797653984614,47.79040852101394,Sableux,Sorgho,38.72325316829145,0.0,0.11168333598403027,Uree,soudanienne,6.470424815516305,91.65057809830333,augmente,4,2,2,1
30.813737119513277,63.136151106067956,37.86029018483753,Limoneux,Mil,39.15731497279481,0.0,0.0,Uree,soudanienne,5.558179839339565,56.37095495467999,augmente,3,2,1,1
32.00597209512361,54.597354592219496,37.01724233777605,Argileux,Sorgho,39.988833426956575,0.49167923340257497,1.3005793901423361,Uree,soudanienne,7.3765368791021455,198.10102840013465,augmente,4,2,0,1
28.985636202368887,56.6951048724831,44.260429154603216,Sableux,Mil,37.154669645980704,1.8590997083948395,2.4845756413429214,Uree,soudanienne,7.756382266698917,165.29149322154834,augmente,3,2,2,1
31.90858932910191,54.65103053806706,60.396351721494426,Limoneux,Mais,38.94926806332698,0.0,0.15519354398834911,Uree,sahelienne,6.233026929245161,53.801476486163075,augmente,2,2,1,0
35.22873582689763,57.18742418497375,49.03916346029673,Sableux,Mais,37.10057375483139,0.0,0.0,Uree,sahelienne,5.792667541069014,60.92085053739778,augmente,2,2,2,0
30.882813022451803,51.513152371609216,29.549492835260125,Argileux,Mais,38.80618750537122,0.0,0.0,Uree,soudanienne,7.531998918143756,197.2002127645742,augmente,2,2,0,1
30.214382750670232,55.32795301417687,41.5297618508974,Sableux,Mais,34.68350043022201,2.512051648868276,0.0,Uree,sahelienne,5.79704479067018,51.93682416928509,augmente,2,2,2,0
29.093826239129235,59.84366497615795,42.06553189493927,Limoneux,Sorgho,38.16715270606224,0.6427387553583064,1.10423038673778,Uree,soudanienne,5.684491411838497,193.8605071238198,augmente,4,2,1,1
35.35771464699071,58.17462789023892,50.55950304363245,Sableux,Sorgho,37.58329921959229,2.975947210379088,1.9206584774614375,Uree,sahelienne,7.050331494503842,15.049692777900905,augmente,4,2,2,0
35.52744905893199,63.462129503968626,36.86985316261048,Limoneux,Mais,36.992204234843165,0.24063005836193221,0.5468095612434551,Uree,sahelienne,7.211827931384699,72.8741747595074,augmente,2,2,1,0
29.853527241617176,58.36055413663566,39.467114684816124,Argileux,Sorgho,39.704050194813426,2.3626538006874065,1.1203887253798706,Uree,soudanienne,7.526383326954582,30.083378220705637,augmente,4,2,0,1
28.534040296597595,58.753395985284634,42.36862128963758,Argileux,Mil,38.1567112347861,1.980506099157539,0.0,Uree,soudanienne,7.422468537951277,169.9294781354823,augmente,3,2,0,1
34.581640626725914,54.60284423801555,39.27635623271643,Sableux,Sorgho,35.891171996523724,0.8567868959603274,1.6967149025767487,Uree,soudanienne,7.178932988981999,154.46367834712785,augmente,4,2,2,1
32.971957406908885,61.94243060277585,54.017340104534725,Sableux,Mil,42.08653758585859,2.8085453479091274,0.0,Uree,sahelienne,7.260199420248059,10.909718046941581,augmente,3,2,2,0
29.84002834232903,59.72430980988837,22.821047798952264,Limoneux,Coton,35.2366796331622,2.3109420671708976,1.4177016963938451,Uree,sahelienne,7.459132531852857,49.76693601822988,augmente,1,2,1,0
30.13491017350321,48.42761288658178,41.16906251728219,Sableux,Mil,35.286343654121524,0.0,0.6145047183028917,Uree,sahelienne,7.083502135791814,6.0690662486931135,augmente,3,2,2,0
29.406067931516784,68.96540941294394,39.13978192735966,Sableux,Mil,36.3741392431845,0.78027723987727,1.1957888505788825,Uree,sahelienne,5.930799678004075,3.269489301318309,augmente,3,2,2,0
26.84327169612423,68.5152133661447,42.26535005620987,Sableux,Mil,38.1702777033759,0.0,0.0,Uree,soudanienne,5.598280349602748,125.58007789818156,augmente,3,2,2,1
31.86437071909024,56.00081371212703,31.13076795924088,Limoneux,Sorgho,39.90167398286961,0.0,0.0,Uree,soudanienne,6.711307462977553,73.78272791395449,augmente,4,2,1,1
33.390068099140386,58.09000811905615,33.53263814772758,Sableux,Sorgho,39.405231309104515,0.4980002472696578,4.92620929352838,Uree,sahelienne,6.831543166137558,21.539458475950475,augmente,4,2,2,0
29.236294285542495,59.814422841190314,49.98004213651162,Argileux,Mil,36.44638296956979,0.0,0.0,Uree,soudanienne,7.197755797861224,99.68843978581145,augmente,3,2,0,1
29.68956659972217,54.36508519128853,29.76687587694334,Limoneux,Coton,41.115278338085055,0.8622560698954539,0.0,Uree,soudanienne,7.114793103329003,71.21934517956925,augmente,1,2,1,1
28.4588447976994,56.82465819697705,38.31048408229867,Sableux,Mil,37.7106979258996,0.0,0.0,Uree,sahelienne,6.212737921734618,71.74123397011401,augmente,3,2,2,0
27.663408424255817,55.85389189082659,48.61238494932445,Limoneux,Sorgho,38.852237630728155,0.0,0.0,Uree,soudanienne,5.927218968475165,185.87519782551715,augmente,4,2,1,1
27.3964940919895,60.120978282886945,17.796418125357963,Sableux,Mil,40.049195279338726,0.0,0.0,Uree,sahelienne,6.106024331037701,48.849603395330604,augmente,3,2,2,0
30.361173814856173,54.440833467552736,38.565163895988476,Argileux,Mais,38.24425807375534,0.0,0.0,Uree,soudanienne,5.658437426181919,64.47076899494459,augmente,2,2,0,1
37.102885390240104,49.90820946312133,32.8531972203799,Limoneux,Mil,40.362305840293345,1.2346210388821381,0.0,Uree,soudanienne,7.823822860619565,193.0053821333025,augmente,3,2,1,1
30.946010756752734,60.40915420807417,38.32435934926965,Sableux,Mais,38.52006754171618,0.0,1.8684512986556918,Uree,sahelienne,6.0040683001193615,13.141263834479435,augmente,2,2,2,0
32.90428739965273,57.48120266345492,53.42171369550191,Argileux,Mais,34.37452033407911,0.5772454794774854,0.0,Uree,soudanienne,6.442361073562269,60.27557483282842,augmente,2,2,0,1
23.980822891287843,59.90106608380065,48.74876884177205,Argileux,Mil,38.954256062760514,0.0,1.3270489298935828,Uree,soudanienne,5.79224510177091,125.54161061428357,augmente,3,2,0,1
30.459077463222663,56.29915009480025,45.51372429123341,Sableux,Mil,39.28386750349766,1.9957232883707592,1.5454752127353444,Uree,sahelienne,6.279305169488871,59.51570340581416,augmente,3,2,2,0
28.786478110137665,57.38279975122344,33.327953696256714,Limoneux,Mais,39.228950629957005,0.5338593684591173,1.6600639108126387,Uree,sahelienne,7.493238414448884,18.340111618611317,augmente,2,2,1,0
31.020995992044142,53.45456901795625,37.43383953902257,Sableux,Sorgho,40.86737838196787,1.6137647197581377,0.0,Uree,soudanienne,7.771126403334071,80.17028335272798,augmente,4,2,2,1
30.5923221331895,59.27225977805926,48.35128071884904,Limoneux,Mil,38.869421437358874,0.0,3.9132031673869223,Uree,soudanienne,7.241627059692231,141.44772686267973,augmente,3,2,1,1
30.51004201702973,58.27777319933858,48.83874038779774,Sableux,Mil,35.940211471529494,3.018924979398779,0.294213363048252,Uree,soudanienne,5.783095114601888,167.77961728918683,augmente,3,2,2,1
34.54824725253246,57.940103109572384,38.19211672900313,Sableux,Sorgho,38.46430774685743,1.7507064295535177,0.0,Uree,sahelienne,7.507133621495028,26.679933735291534,augmente,4,2,2,0
27.915085807741214,51.24074214835755,39.65648741634567,Sableux,Sorgho,37.94834105887429,1.0050240215690711,2.032200874521145,Uree,sahelienne,6.631098790331734,14.110958920497865,augmente,4,2,2,0
33.409815159378496,57.387713061891944,32.201887963504035,Argileux,Sorgho,37.9464351939123,1.1139301837014695,2.9583297519125527,Uree,soudanienne,5.71337417019661,100.43900206624852,augmente,4,2,0,1
30.665250669230698,71.53022970670243,32.19678879722625,Argileux,Sorgho,36.949910365670554,1.0788487499948405,0.0,Uree,soudanienne,5.664271598570881,90.65776694960552,augmente,4,2,0,1
29.177953525944183,51.71527869024098,35.09905324694171,Limoneux,Mil,40.61478607007516,0.0,0.0,Uree,sahelienne,7.109998858097539,2.030908452827589,augmente,3,2,1,0
28.16978487006034,59.21920810981594,40.80571418508278,Argileux,Mil,38.20245137848841,0.04797381524345251,0.0,Uree,soudanienne,5.946361655135834,47.6365562093453,augmente,3,2,0,1
