date,ville,lat,lon,zone,temperature_moy,temperature_max,temperature_min,pluie_jour,humidite_air,vent_moy,rayonnement_solaire,point_rosee,pluie_7j,pluie_14j,mois,annee,saison,etp,humidite_sol,type_sol,ph_sol,culture,stade,culture_enc,stade_enc,saison_enc,zone_enc,irrigation
2015-01-29,Abeche,13.82,20.83,sahelienne,26.24,36.58,17.86,0.0,15.79,3.39,22.73,-1.97,0.0,0.0,1,2015,seche,4.064317875518826,10.795529170568365,2,7.264174481333637,Arachide,Repos,0,3,2,0,1
2015-01-30,Abeche,13.82,20.83,sahelienne,26.51,36.94,17.39,0.0,17.09,2.78,21.25,-0.97,0.0,0.0,1,2015,seche,3.906807964337611,12.958143751447063,2,7.543355953113519,Sorgho,Repos,4,3,2,0,1
2015-01-31,Abeche,13.82,20.83,sahelienne,26.84,36.57,18.04,0.0,19.26,2.73,22.76,0.99,0.0,0.0,1,2015,seche,4.104139862543126,10.788053714394222,2,6.788148175351311,Sorgho,Repos,4,3,2,0,0
2015-02-01,Abeche,13.82,20.83,sahelienne,27.81,38.28,18.64,0.0,16.53,2.43,23.11,-0.95,0.0,0.0,2,2015,seche,4.383477266358031,27.965947291562564,2,7.031304468369747,Arachide,Repos,0,3,2,0,1
2015-02-02,Abeche,13.82,20.83,sahelienne,27.91,38.48,18.75,0.0,15.12,2.62,23.28,-2.04,0.0,0.0,2,2015,seche,4.435532226777418,14.905519426834463,2,7.1233509069354,Sorgho,Repos,4,3,2,0,0
2015-02-03,Abeche,13.82,20.83,sahelienne,27.8,38.67,18.59,0.0,13.47,2.77,23.58,-3.66,0.0,0.0,2,2015,seche,4.521457955752321,7.596023497308698,2,6.779784958367468,Sorgho,Repos,4,3,2,0,1
2015-02-04,Abeche,13.82,20.83,sahelienne,28.13,38.68,19.05,0.0,10.61,3.68,23.53,-6.19,0.0,0.0,2,2015,seche,4.493311440878573,20.757814384722323,2,7.859696320508191,Arachide,Repos,0,3,2,0,1
2015-02-05,Abeche,13.82,20.83,sahelienne,28.43,39.09,19.21,0.0,8.6,3.41,23.18,-8.0,0.0,0.0,2,2015,seche,4.483668692578775,6.454094450202845,0,7.522267186119376,Mil,Repos,3,3,2,0,0
2015-02-06,Abeche,13.82,20.83,sahelienne,28.24,39.14,19.13,0.0,7.1,2.73,23.84,-10.32,0.0,0.0,2,2015,seche,4.607370204691233,16.462045165033288,2,6.637793519513552,Sorgho,Repos,4,3,2,0,1
2015-02-07,Abeche,13.82,20.83,sahelienne,28.03,38.68,19.59,0.0,6.32,3.18,24.51,-11.8,0.0,0.0,2,2015,seche,4.60557789282953,5.0,0,7.569197059800784,Mil,Repos,3,3,2,0,0
2015-02-08,Abeche,13.82,20.83,sahelienne,28.09,38.85,19.21,0.0,7.67,2.51,24.46,-9.57,0.0,0.0,2,2015,seche,4.668025837823129,5.702697657710987,2,7.3216814090307425,Mil,Repos,3,3,2,0,1
2015-02-09,Abeche,13.82,20.83,sahelienne,28.41,38.81,19.92,0.0,8.05,2.52,23.92,-8.58,0.0,0.0,2,2015,seche,4.508178691279298,16.378028651083866,2,7.285910700189729,Arachide,Repos,0,3,2,0,1
2015-02-10,Abeche,13.82,20.83,sahelienne,27.58,38.28,18.92,0.0,6.21,2.55,24.59,-11.7,0.0,0.0,2,2015,seche,4.607482516032,20.169266059967875,2,7.984678662661222,Sorgho,Repos,4,3,2,0,1
2015-02-11,Abeche,13.82,20.83,sahelienne,26.85,38.09,18.29,0.0,8.28,3.93,23.85,-9.78,0.0,0.0,2,2015,seche,4.446624339327048,16.199577968329795,2,7.427301231763368,Mil,Repos,3,3,2,0,1
2015-02-12,Abeche,13.82,20.83,sahelienne,25.45,35.96,16.84,0.0,11.64,4.78,24.23,-7.4,0.0,0.0,2,2015,seche,4.300029836485241,14.190462023282317,0,7.84509228949447,Sorgho,Repos,4,3,2,0,1
2015-02-13,Abeche,13.82,20.83,sahelienne,24.88,35.63,16.13,0.0,9.33,3.68,24.05,-10.01,0.0,0.0,2,2015,seche,4.253483929079644,12.892274130874979,2,7.870323410159186,Arachide,Repos,0,3,2,0,1
2015-02-14,Abeche,13.82,20.83,sahelienne,26.28,36.42,16.11,0.0,8.58,2.27,25.32,-9.64,0.0,0.0,2,2015,seche,4.720067919845809,5.0,0,6.652127947611275,Arachide,Repos,0,3,2,0,0
2015-02-15,Abeche,13.82,20.83,sahelienne,26.72,36.83,17.32,0.0,10.51,1.69,24.82,-7.01,0.0,0.0,2,2015,seche,4.580085302150338,9.96109054123704,0,6.512543384569355,Sorgho,Repos,4,3,2,0,1
2015-02-16,Abeche,13.82,20.83,sahelienne,27.42,37.77,18.17,0.0,11.87,2.19,24.99,-5.29,0.0,0.0,2,2015,seche,4.694754089522139,11.775528603281487,2,7.152900364098091,Sorgho,Repos,4,3,2,0,1
2015-02-17,Abeche,13.82,20.83,sahelienne,26.74,36.85,17.56,0.0,12.75,2.57,24.62,-4.93,0.0,0.0,2,2015,seche,4.519520641340364,22.39985558353241,0,7.653927471561534,Sorgho,Repos,4,3,2,0,0
2015-02-18,Abeche,13.82,20.83,sahelienne,28.14,37.22,19.93,0.0,16.09,3.22,22.79,-0.48,0.0,0.0,2,2015,seche,4.085270441789877,17.40532802697923,0,7.736293932995798,Sorgho,Repos,4,3,2,0,1
2015-02-19,Abeche,13.82,20.83,sahelienne,28.89,38.49,20.66,0.0,15.69,3.65,23.24,-0.45,0.0,0.0,2,2015,seche,4.299556579256678,5.0,2,7.681241069950852,Arachide,Repos,0,3,2,0,1
2015-02-20,Abeche,13.82,20.83,sahelienne,28.65,38.64,20.46,0.0,16.96,4.27,23.71,0.16,0.0,0.0,2,2015,seche,4.406585599426006,17.268587785763565,2,7.170931937771299,Mil,Repos,3,3,2,0,1
2015-02-21,Abeche,13.82,20.83,sahelienne,28.07,38.31,19.27,0.0,15.21,4.09,23.82,-1.49,0.0,0.0,2,2015,seche,4.473958676201238,12.304424037085784,0,7.6249461778047865,Sorgho,Repos,4,3,2,0,1
2015-02-22,Abeche,13.82,20.83,sahelienne,29.18,38.83,19.79,0.0,12.08,3.07,25.18,-3.54,0.0,0.0,2,2015,seche,4.843844685504431,10.261545997858288,2,7.578164786789269,Mil,Repos,3,3,2,0,1
2015-02-23,Abeche,13.82,20.83,sahelienne,29.45,39.66,20.63,0.0,11.25,3.69,24.51,-4.39,0.0,0.0,2,2015,seche,4.740809641240267,19.281734021886074,2,6.970728876447206,Sorgho,Repos,4,3,2,0,1
2015-02-24,Abeche,13.82,20.83,sahelienne,28.08,37.15,20.4,0.0,16.12,3.85,23.69,-0.49,0.0,0.0,2,2015,seche,4.174302084510383,22.216996657471658,2,6.753080840358319,Mil,Repos,3,3,2,0,1
2015-02-25,Abeche,13.82,20.83,sahelienne,28.46,38.42,19.63,0.0,18.13,2.75,18.04,1.08,0.0,0.0,2,2015,seche,3.39463864360007,21.518960833813388,2,7.432128075832994,Arachide,Repos,0,3,2,0,1
2015-02-26,Abeche,13.82,20.83,sahelienne,28.77,37.95,20.61,0.0,17.69,2.47,18.14,1.1,0.0,0.0,2,2015,seche,3.3010801289890304,9.12547733744153,2,7.515629588273127,Sorgho,Repos,4,3,2,0,1
2015-02-27,Abeche,13.82,20.83,sahelienne,28.43,37.6,20.69,0.0,10.49,3.6,18.1,-5.49,0.0,0.0,2,2015,seche,3.2289570717830522,12.835513369041498,2,7.351956036301862,Arachide,Repos,0,3,2,0,1
2015-02-28,Abeche,13.82,20.83,sahelienne,29.9,40.38,19.53,0.0,13.97,3.2,18.66,-0.86,0.0,0.0,2,2015,seche,3.8139153287388456,17.318844019824947,2,6.81976931973657,Arachide,Repos,0,3,2,0,1
2015-03-01,Abeche,13.82,20.83,sahelienne,31.48,40.82,22.86,0.0,14.57,3.29,21.45,0.78,0.0,0.0,3,2015,seche,4.203772075374142,21.828815889856514,0,6.915009980533184,Arachide,Repos,0,3,2,0,0
2015-03-02,Abeche,13.82,20.83,sahelienne,29.68,37.85,22.46,0.0,12.93,3.11,20.9,-2.11,0.0,0.0,3,2015,seche,3.653123086984321,11.645780335082971,2,7.562729407189009,Mil,Repos,3,3,2,0,0
2015-03-03,Abeche,13.82,20.83,sahelienne,28.35,37.49,20.25,0.0,12.79,5.13,22.72,-3.55,0.0,0.0,3,2015,seche,4.085419544844406,13.70038716335328,2,7.9439335460558285,Mil,Repos,3,3,2,0,1
2015-03-04,Abeche,13.82,20.83,sahelienne,27.83,36.68,20.48,0.0,16.0,5.47,20.72,-0.66,0.0,0.0,3,2015,seche,3.5709660907036307,7.255655181957803,2,7.917253402333826,Mil,Repos,3,3,2,0,1
2015-03-05,Abeche,13.82,20.83,sahelienne,28.53,37.63,20.33,0.0,16.98,3.81,23.02,0.39,0.0,0.0,3,2015,seche,4.162734095353442,6.6265536314353035,0,7.279487219625939,Sorgho,Repos,4,3,2,0,1
2015-03-06,Abeche,13.82,20.83,sahelienne,29.89,39.5,21.33,0.0,14.94,3.13,23.74,-0.42,0.0,0.0,3,2015,seche,4.528699454194742,20.687680756759384,2,7.829839212148203,Mil,Repos,3,3,2,0,0
2015-03-07,Abeche,13.82,20.83,sahelienne,30.43,39.88,21.9,0.0,15.12,2.78,24.45,0.09,0.0,0.0,3,2015,seche,4.692226502886225,24.493680199995758,2,6.544176800458,Arachide,Repos,0,3,2,0,0
2015-03-08,Abeche,13.82,20.83,sahelienne,30.64,39.54,22.36,0.0,14.61,1.99,22.32,-0.11,0.0,0.0,3,2015,seche,4.205308912438185,14.495929148937662,2,7.791728182396513,Mil,Repos,3,3,2,0,1
2015-03-09,Abeche,13.82,20.83,sahelienne,32.36,41.65,22.94,0.0,14.29,2.62,23.56,1.21,0.0,0.0,3,2015,seche,4.796867326917771,22.024730285244168,2,7.21422623515209,Sorgho,Repos,4,3,2,0,1
2015-03-10,Abeche,13.82,20.83,sahelienne,33.35,42.62,25.01,0.0,13.91,2.53,23.3,1.61,0.0,0.0,3,2015,seche,4.693201882119102,17.53145217533344,2,7.672291002362477,Arachide,Repos,0,3,2,0,1
2015-03-11,Abeche,13.82,20.83,sahelienne,32.54,41.75,24.62,0.0,12.7,3.85,23.6,-0.41,0.0,0.0,3,2015,seche,4.61415197626709,10.484161717764131,0,6.508374364381147,Arachide,Repos,0,3,2,0,0
2015-03-12,Abeche,13.82,20.83,sahelienne,30.83,40.3,22.9,0.0,14.55,4.96,19.7,0.27,0.0,0.0,3,2015,seche,3.7500159850186354,17.5297692385589,2,7.802841176553505,Mil,Repos,3,3,2,0,1
2015-03-13,Abeche,13.82,20.83,sahelienne,31.44,40.11,22.97,0.0,17.5,3.46,19.33,3.43,0.0,0.0,3,2015,seche,3.697799047011188,25.766255965261784,2,7.3924694335713115,Mil,Repos,3,3,2,0,1
2015-03-14,Abeche,13.82,20.83,sahelienne,30.88,39.06,24.43,0.0,13.68,3.77,20.99,-0.4,0.0,0.0,3,2015,seche,3.6675257379006982,14.74921772623034,0,6.860345597378324,Sorgho,Repos,4,3,2,0,0
2015-03-15,Abeche,13.82,20.83,sahelienne,30.55,40.41,22.22,0.0,10.32,4.75,23.5,-4.17,0.0,0.0,3,2015,seche,4.547457923447202,25.952505590698046,2,7.02122458165325,Sorgho,Repos,4,3,2,0,0
2015-03-16,Abeche,13.82,20.83,sahelienne,30.44,40.38,21.29,0.0,11.9,4.15,22.87,-2.89,0.0,0.0,3,2015,seche,4.523394098024717,5.0,2,6.800999130396847,Sorgho,Repos,4,3,2,0,1
2015-03-17,Abeche,13.82,20.83,sahelienne,29.7,38.96,21.33,0.0,11.07,4.74,24.01,-4.39,0.0,0.0,3,2015,seche,4.493657053882829,20.753317530626568,2,7.136608636768825,Mil,Repos,3,3,2,0,1
2015-03-18,Abeche,13.82,20.83,sahelienne,30.29,39.92,21.39,0.0,11.53,4.02,24.35,-3.68,0.0,0.0,3,2015,seche,4.730199429697656,15.609329477667199,2,6.995009046920785,Mil,Repos,3,3,2,0,0
2015-03-19,Abeche,13.82,20.83,sahelienne,30.6,39.6,23.34,0.0,9.47,4.91,24.74,-5.37,0.0,0.0,3,2015,seche,4.530992326471416,12.906948546738928,0,7.301754765578017,Mil,Repos,3,3,2,0,1
2015-03-20,Abeche,13.82,20.83,sahelienne,30.47,39.55,22.67,0.0,7.48,4.15,25.96,-8.05,0.0,0.0,3,2015,seche,4.831213244538611,15.642325435748516,0,7.7221766628393915,Mil,Repos,3,3,2,0,1
2015-03-21,Abeche,13.82,20.83,sahelienne,30.0,40.42,20.33,0.0,6.98,3.93,26.03,-8.92,0.0,0.0,3,2015,seche,5.2333530295758885,5.0,2,7.973412897771445,Mil,Repos,3,3,2,0,1
2015-03-22,Abeche,13.82,20.83,sahelienne,30.32,40.28,21.43,0.0,6.12,4.82,25.41,-10.28,0.0,0.0,3,2015,seche,4.981658584879326,13.462296785137417,2,6.8771864610907585,Arachide,Repos,0,3,2,0,1
2015-03-23,Abeche,13.82,20.83,sahelienne,30.89,40.48,22.38,0.0,9.96,4.89,25.45,-4.77,0.0,0.0,3,2015,seche,4.947147370636099,17.499788000582225,2,6.659762394039233,Mil,Repos,3,3,2,0,1
2015-03-24,Abeche,13.82,20.83,sahelienne,31.41,41.17,22.29,0.0,8.86,3.27,26.03,-5.83,0.0,0.0,3,2015,seche,5.22295792453736,25.345258313190612,2,7.093500874853922,Sorgho,Repos,4,3,2,0,0
2015-03-25,Abeche,13.82,20.83,sahelienne,31.77,41.48,21.99,0.0,8.1,3.66,26.35,-6.3,0.0,0.0,3,2015,seche,5.411198395213944,11.372108472084468,2,6.715331414226571,Arachide,Repos,0,3,2,0,0
2015-03-26,Abeche,13.82,20.83,sahelienne,31.97,41.83,22.37,0.0,9.24,2.22,25.85,-5.54,0.0,0.0,3,2015,seche,5.325833747175267,9.340544779747686,0,7.751360303126532,Mil,Repos,3,3,2,0,1
2015-03-27,Abeche,13.82,20.83,sahelienne,32.16,42.31,22.53,0.0,9.36,2.61,25.36,-4.93,0.0,0.0,3,2015,seche,5.287773227656881,11.487700694908245,0,7.251687319304546,Mil,Repos,3,3,2,0,0
2015-03-28,Abeche,13.82,20.83,sahelienne,31.49,40.82,22.69,0.0,12.01,2.75,23.84,-1.91,0.0,0.0,3,2015,seche,4.6951770142859415,21.40781482391452,2,7.429943573612971,Mil,Repos,3,3,2,0,1
2015-03-29,Abeche,13.82,20.83,sahelienne,31.09,39.33,23.47,0.0,13.7,3.29,22.72,-0.49,0.0,0.0,3,2015,seche,4.151145490329895,17.30125776761779,0,6.725918831414591,Mil,Repos,3,3,2,0,1
2015-03-30,Abeche,13.82,20.83,sahelienne,31.84,39.84,23.21,0.0,18.71,2.92,20.09,4.99,0.0,0.0,3,2015,seche,3.8163292264536612,11.291678573630728,0,7.62441322375485,Sorgho,Repos,4,3,2,0,0
2015-03-31,Abeche,13.82,20.83,sahelienne,33.63,40.66,28.22,0.0,17.54,4.53,19.8,3.95,0.0,0.0,3,2015,seche,3.3703880311752514,18.592872031793494,2,7.960372717902441,Mil,Repos,3,3,2,0,1
2015-04-01,Abeche,13.82,20.83,sahelienne,31.46,40.38,23.73,0.0,10.89,3.76,24.98,-3.02,0.0,0.0,4,2015,seche,4.711746965932897,15.679542845436282,2,7.223577877238396,Sorgho,Repos,4,3,2,0,1
2015-04-02,Abeche,13.82,20.83,sahelienne,31.84,41.15,23.52,0.0,12.12,3.75,26.27,-1.44,0.0,0.0,4,2015,seche,5.138140798163146,21.780514933730224,2,7.943685957185965,Mil,Repos,3,3,2,0,0
2015-04-03,Abeche,13.82,20.83,sahelienne,31.51,40.45,23.17,0.0,12.76,4.07,24.28,-1.1,0.0,0.0,4,2015,seche,4.670286820637809,10.085628342858534,2,6.5520741407620395,Arachide,Repos,0,3,2,0,1
2015-04-04,Abeche,13.82,20.83,sahelienne,32.22,40.58,23.96,0.0,14.61,3.1,24.84,1.32,0.0,0.0,4,2015,seche,4.753338991159747,12.706364973815623,2,6.553584070721533,Mil,Repos,3,3,2,0,1
2015-04-05,Abeche,13.82,20.83,sahelienne,31.74,40.47,24.74,0.0,19.63,3.7,22.64,4.49,0.0,0.0,4,2015,seche,4.174310835375698,12.255242928074896,2,7.940019366139087,Mil,Repos,3,3,2,0,1
2015-04-06,Abeche,13.82,20.83,sahelienne,32.62,41.09,24.49,0.0,15.45,3.3,24.98,2.04,0.0,0.0,4,2015,seche,4.815454886173879,5.0,2,7.550398396146542,Mil,Repos,3,3,2,0,1
2015-04-07,Abeche,13.82,20.83,sahelienne,33.08,41.73,25.13,0.0,13.76,4.29,26.6,1.27,0.0,0.0,4,2015,seche,5.174528489580094,17.072841939452033,2,6.783034590536007,Mil,Repos,3,3,2,0,1
2015-04-08,Abeche,13.82,20.83,sahelienne,32.72,41.29,24.99,0.0,11.83,3.86,27.79,-1.04,0.0,0.0,4,2015,seche,5.31904531146612,16.827386905259225,0,7.0458121986388536,Mil,Repos,3,3,2,0,0
2015-04-09,Abeche,13.82,20.83,sahelienne,31.75,40.76,23.65,0.0,6.86,3.15,27.62,-8.13,0.0,0.0,4,2015,seche,5.312272405866616,15.035794196497227,0,7.261629601892259,Mil,Repos,3,3,2,0,0
2015-04-10,Abeche,13.82,20.83,sahelienne,30.55,39.68,22.07,0.0,8.68,4.34,24.11,-6.28,0.0,0.0,4,2015,seche,4.590514524914986,13.357890066373972,2,7.553956603353116,Arachide,Repos,0,3,2,0,1
2015-04-11,Abeche,13.82,20.83,sahelienne,28.77,37.68,21.27,0.0,12.2,5.45,24.11,-3.57,0.0,0.0,4,2015,seche,4.268209596698353,5.092404805647099,2,7.763039840262844,Mil,Repos,3,3,2,0,0
2015-04-12,Abeche,13.82,20.83,sahelienne,27.56,37.02,19.53,0.0,11.07,4.89,24.16,-5.68,0.0,0.0,4,2015,seche,4.30083597406182,12.055482740642486,2,6.623984607069792,Mil,Repos,3,3,2,0,0
2015-04-13,Abeche,13.82,20.83,sahelienne,26.85,36.96,17.71,0.0,7.7,4.18,25.66,-9.97,0.0,0.0,4,2015,seche,4.717169494052135,12.600998384312614,2,7.48486118523337,Sorgho,Repos,4,3,2,0,0
2015-04-14,Abeche,13.82,20.83,sahelienne,26.15,36.25,17.07,0.0,5.22,3.87,26.11,-14.62,0.0,0.0,4,2015,seche,4.716046208866461,9.384059115448668,2,7.215067120456914,Mil,Repos,3,3,2,0,1
2015-04-15,Abeche,13.82,20.83,sahelienne,26.26,36.5,16.52,0.0,5.17,3.93,26.95,-14.55,0.0,0.0,4,2015,seche,4.980684167907883,13.871000018337936,2,7.396433413164542,Mil,Repos,3,3,2,0,1
2015-04-16,Abeche,13.82,20.83,sahelienne,26.94,36.89,17.77,0.0,6.98,4.93,24.83,-11.11,0.0,0.0,4,2015,seche,4.558318241303503,17.82835599770177,2,7.262797409916954,Arachide,Repos,0,3,2,0,1
2015-04-17,Abeche,13.82,20.83,sahelienne,27.87,37.66,18.58,0.0,8.14,5.57,26.67,-9.0,0.0,0.0,4,2015,seche,4.992651032738755,28.203301308473712,2,7.176039575764182,Mil,Repos,3,3,2,0,0
2015-04-18,Abeche,13.82,20.83,sahelienne,28.2,37.58,20.1,0.0,6.33,4.93,26.69,-11.49,0.0,0.0,4,2015,seche,4.816872142842989,16.222044689822873,2,6.808269194269574,Sorgho,Repos,4,3,2,0,1
2015-04-19,Abeche,13.82,20.83,sahelienne,28.35,38.04,19.39,0.0,5.8,3.6,27.98,-12.48,0.0,0.0,4,2015,seche,5.232952982836702,16.80285273505935,2,7.208503868538468,Arachide,Repos,0,3,2,0,0
2015-04-20,Abeche,13.82,20.83,sahelienne,29.49,39.58,19.53,0.0,5.7,2.92,28.43,-11.71,0.0,0.0,4,2015,seche,5.649257375584467,14.47887858963683,2,6.784482707062654,Mil,Repos,3,3,2,0,1
2015-04-21,Abeche,13.82,20.83,sahelienne,30.92,41.19,21.16,0.0,5.55,3.23,27.6,-10.94,0.0,0.0,4,2015,seche,5.6473517041235874,5.0,2,6.566917230541574,Mil,Repos,3,3,2,0,1
2015-04-22,Abeche,13.82,20.83,sahelienne,31.49,41.7,21.77,0.0,5.95,3.42,28.28,-9.96,0.0,0.0,4,2015,seche,5.839556593768159,14.814402871855481,0,7.060736736422033,Mil,Repos,3,3,2,0,1
2015-04-23,Abeche,13.82,20.83,sahelienne,31.72,41.67,22.05,0.0,6.8,4.32,27.17,-8.4,0.0,0.0,4,2015,seche,5.592522950973901,15.421611469587186,2,6.537433608124256,Mil,Repos,3,3,2,0,1
2015-04-24,Abeche,13.82,20.83,sahelienne,31.76,41.02,23.07,0.0,9.4,5.34,26.09,-4.69,0.0,0.0,4,2015,seche,5.140739561883376,32.242694787397,2,7.343817444532999,Arachide,Repos,0,3,2,0,0
